TABLE_CAT	TABLE_SCHEM	TABLE_NAME	COLUMN_NAME	DATA_TYPE	TYPE_NAME	COLUMN_SIZE	BUFFER_LENGTH	DECIMAL_DIGITS	NUM_PREC_RADIX	NULLABLE	REMARKS	COLUMN_DEF	SQL_DATA_TYPE	SQL_DATETIME_SUB	CHAR_OCTET_LENGTH	ORDINAL_POSITION	IS_NULLABLE	SS_UDT_CATALOG_NAME	SS_UDT_SCHEMA_NAME	SS_UDT_ASSEMBLY_TYPE_NAME	SS_XML_SCHEMACOLLECTION_CATALOG_NAME	SS_XML_SCHEMACOLLECTION_SCHEMA_NAME	SS_XML_SCHEMACOLLECTION_NAME	SS_DATA_TYPE
CABS	dbo	CallRecordFromDDL	CallRecordID	4	int identity	10	4	0	10	0	<null>	<null>	4	<null>	<null>	1	NO 	<null>	<null>	<null>	<null>	<null>	<null>	56
CABS	dbo	CallRecordFromDDL	FileID	4	int	10	4	0	10	0	<null>	<null>	4	<null>	<null>	2	NO 	<null>	<null>	<null>	<null>	<null>	<null>	56
CABS	dbo	CallRecordFromDDL	InvoiceNumber	12	varchar	50	50	<null>	<null>	1	<null>	<null>	12	<null>	50	3	YES	<null>	<null>	<null>	<null>	<null>	<null>	39
CABS	dbo	CallRecordFromDDL	BAN	12	varchar	50	50	<null>	<null>	1	<null>	<null>	12	<null>	50	4	YES	<null>	<null>	<null>	<null>	<null>	<null>	39
CABS	dbo	CallRecordFromDDL	FR_Category	1	char	2	2	<null>	<null>	0	<null>	<null>	1	<null>	2	5	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
CABS	dbo	CallRecordFromDDL	FR_Group	1	char	2	2	<null>	<null>	0	<null>	<null>	1	<null>	2	6	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
CABS	dbo	CallRecordFromDDL	FR_RecordType	1	char	2	2	<null>	<null>	0	<null>	<null>	1	<null>	2	7	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
CABS	dbo	CallRecordFromDDL	FR_Year	1	char	2	2	<null>	<null>	0	<null>	<null>	1	<null>	2	8	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
CABS	dbo	CallRecordFromDDL	FR_Month	1	char	2	2	<null>	<null>	0	<null>	<null>	1	<null>	2	9	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
CABS	dbo	CallRecordFromDDL	FR_Day	1	char	2	2	<null>	<null>	0	<null>	<null>	1	<null>	2	10	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
CABS	dbo	CallRecordFromDDL	FR_FromNumberLength	1	char	2	2	<null>	<null>	0	<null>	<null>	1	<null>	2	11	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
CABS	dbo	CallRecordFromDDL	FR_FromNumberNPA	1	char	3	3	<null>	<null>	0	<null>	<null>	1	<null>	3	12	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
CABS	dbo	CallRecordFromDDL	FR_FromNumberNXX	1	char	3	3	<null>	<null>	0	<null>	<null>	1	<null>	3	13	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
CABS	dbo	CallRecordFromDDL	FR_FromNumberLineNumber	1	char	4	4	<null>	<null>	0	<null>	<null>	1	<null>	4	14	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
CABS	dbo	CallRecordFromDDL	FR_OverflowDigits	1	char	3	3	<null>	<null>	0	<null>	<null>	1	<null>	3	15	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
CABS	dbo	CallRecordFromDDL	FR_ToNumberLength	1	char	2	2	<null>	<null>	0	<null>	<null>	1	<null>	2	16	NO 	<null>	<null>	<null>	<null>	<null>	<null>	47
