TABLE_CAT	TABLE_SCHEM	TABLE_NAME	TABLE_TYPE	REMARKS
CABS	dbo	AnitaRequest2	TABLE	<null>
CABS	dbo	AnitaRequest3	TABLE	<null>
CABS	dbo	C9102Calls	TABLE	<null>
CABS	dbo	C9102IDs	TABLE	<null>
CABS	dbo	CallDetail0708	TABLE	<null>
CABS	dbo	CallRecord	TABLE	<null>
CABS	dbo	CallRecord0708	TABLE	<null>
CABS	dbo	CallRecordAdditionalCMDS	TABLE	<null>
CABS	dbo	CallRecordFromDDL	TABLE	<null>
CABS	dbo	CallRecordImport	TABLE	<null>
CABS	dbo	CallRecordNonDup	TABLE	<null>
CABS	dbo	CallRecordSummary	TABLE	<null>
CABS	dbo	CallRecordType25	TABLE	<null>
CABS	dbo	CMDSIndicators800	TABLE	<null>
CABS	dbo	CMDSRecords	TABLE	<null>
CABS	dbo	Compare1	TABLE	<null>
CABS	dbo	D5119	TABLE	<null>
CABS	dbo	LERG 1	TABLE	<null>
CABS	dbo	LERG6Master	TABLE	<null>
CABS	dbo	LERG6Unique	TABLE	<null>
CABS	dbo	LERG7VH	TABLE	<null>
CABS	dbo	MapSource	TABLE	<null>
CABS	dbo	MatchedMap	TABLE	<null>
CABS	dbo	NullRateElement	TABLE	<null>
CABS	dbo	OrigRecords	TABLE	<null>
CABS	dbo	RecordingPoints	TABLE	<null>
CABS	dbo	SummaryData	TABLE	<null>
CABS	dbo	SwitchCLLIs	TABLE	<null>
CABS	dbo	tempBAN	TABLE	<null>
CABS	dbo	tempCallType	TABLE	<null>
CABS	dbo	tempCallType0	TABLE	<null>
CABS	dbo	tempCIC	TABLE	<null>
CABS	dbo	tempCLLI	TABLE	<null>
CABS	dbo	tempCMDS	TABLE	<null>
CABS	dbo	tempLATA	TABLE	<null>
CABS	dbo	tempMatched2p8	TABLE	<null>
CABS	dbo	tempMatched4p16	TABLE	<null>
CABS	dbo	tempMatched8p32	TABLE	<null>
CABS	dbo	tempMatchedCMDSState	TABLE	<null>
CABS	dbo	tempMatchedLATA	TABLE	<null>
CABS	dbo	tempMatchedNearFar	TABLE	<null>
CABS	dbo	tempMatchedSource	TABLE	<null>
CABS	dbo	tempMatchedState	TABLE	<null>
CABS	dbo	tempMatchedWireless	TABLE	<null>
CABS	dbo	tempSources	TABLE	<null>
CABS	dbo	tempSwitchCLLI	TABLE	<null>
CABS	dbo	testCMDSNotMatched	TABLE	<null>
CABS	dbo	testDetail	TABLE	<null>
CABS	dbo	testDetailATTInterstate	TABLE	<null>
CABS	dbo	testDetailOriginal	TABLE	<null>
CABS	dbo	testIntralataMileage	TABLE	<null>
CABS	dbo	testResults	TABLE	<null>
CABS	dbo	testTimingNotIN	TABLE	<null>
CABS	dbo	testTimingNullJoin	TABLE	<null>
CABS	dbo	ToMatchCMDS	TABLE	<null>
CABS	dbo	ToMatchMatches	TABLE	<null>
CABS	dbo	ToMatchSwitch	TABLE	<null>
CABS	dbo	UnmatchedCMDS	TABLE	<null>
CABS	dbo	UnmatchedCMDSIDs	TABLE	<null>
CABS	dbo	ValidBANs	TABLE	<null>
CABS	dbo	WirelessOCNs	TABLE	<null>
CABS	dbo	viewToMatchCMDS	VIEW	<null>
CABS	dbo	viewToMatchSwitch	VIEW	<null>
CABS	INFORMATION_SCHEMA	CHECK_CONSTRAINTS	VIEW	<null>
CABS	INFORMATION_SCHEMA	COLUMN_DOMAIN_USAGE	VIEW	<null>
CABS	INFORMATION_SCHEMA	COLUMN_PRIVILEGES	VIEW	<null>
CABS	INFORMATION_SCHEMA	COLUMNS	VIEW	<null>
CABS	INFORMATION_SCHEMA	CONSTRAINT_COLUMN_USAGE	VIEW	<null>
CABS	INFORMATION_SCHEMA	CONSTRAINT_TABLE_USAGE	VIEW	<null>
CABS	INFORMATION_SCHEMA	DOMAIN_CONSTRAINTS	VIEW	<null>
CABS	INFORMATION_SCHEMA	DOMAINS	VIEW	<null>
CABS	INFORMATION_SCHEMA	KEY_COLUMN_USAGE	VIEW	<null>
CABS	INFORMATION_SCHEMA	PARAMETERS	VIEW	<null>
CABS	INFORMATION_SCHEMA	REFERENTIAL_CONSTRAINTS	VIEW	<null>
CABS	INFORMATION_SCHEMA	ROUTINE_COLUMNS	VIEW	<null>
CABS	INFORMATION_SCHEMA	ROUTINES	VIEW	<null>
CABS	INFORMATION_SCHEMA	SCHEMATA	VIEW	<null>
CABS	INFORMATION_SCHEMA	TABLE_CONSTRAINTS	VIEW	<null>
CABS	INFORMATION_SCHEMA	TABLE_PRIVILEGES	VIEW	<null>
CABS	INFORMATION_SCHEMA	TABLES	VIEW	<null>
CABS	INFORMATION_SCHEMA	VIEW_COLUMN_USAGE	VIEW	<null>
CABS	INFORMATION_SCHEMA	VIEW_TABLE_USAGE	VIEW	<null>
CABS	INFORMATION_SCHEMA	VIEWS	VIEW	<null>
CABS	sys	all_columns	VIEW	<null>
CABS	sys	all_objects	VIEW	<null>
CABS	sys	all_parameters	VIEW	<null>
CABS	sys	all_sql_modules	VIEW	<null>
CABS	sys	all_views	VIEW	<null>
CABS	sys	allocation_units	VIEW	<null>
CABS	sys	assemblies	VIEW	<null>
CABS	sys	assembly_files	VIEW	<null>
CABS	sys	assembly_modules	VIEW	<null>
CABS	sys	assembly_references	VIEW	<null>
CABS	sys	assembly_types	VIEW	<null>
CABS	sys	asymmetric_keys	VIEW	<null>
CABS	sys	backup_devices	VIEW	<null>
CABS	sys	certificates	VIEW	<null>
CABS	sys	check_constraints	VIEW	<null>
CABS	sys	column_type_usages	VIEW	<null>
CABS	sys	column_xml_schema_collection_usages	VIEW	<null>
CABS	sys	columns	VIEW	<null>
CABS	sys	computed_columns	VIEW	<null>
CABS	sys	configurations	VIEW	<null>
CABS	sys	conversation_endpoints	VIEW	<null>
CABS	sys	conversation_groups	VIEW	<null>
CABS	sys	credentials	VIEW	<null>
CABS	sys	crypt_properties	VIEW	<null>
CABS	sys	data_spaces	VIEW	<null>
CABS	sys	database_files	VIEW	<null>
CABS	sys	database_mirroring	VIEW	<null>
CABS	sys	database_mirroring_endpoints	VIEW	<null>
CABS	sys	database_mirroring_witnesses	VIEW	<null>
CABS	sys	database_permissions	VIEW	<null>
CABS	sys	database_principal_aliases	VIEW	<null>
CABS	sys	database_principals	VIEW	<null>
CABS	sys	database_recovery_status	VIEW	<null>
CABS	sys	database_role_members	VIEW	<null>
CABS	sys	databases	VIEW	<null>
CABS	sys	default_constraints	VIEW	<null>
CABS	sys	destination_data_spaces	VIEW	<null>
CABS	sys	dm_broker_activated_tasks	VIEW	<null>
CABS	sys	dm_broker_connections	VIEW	<null>
CABS	sys	dm_broker_forwarded_messages	VIEW	<null>
CABS	sys	dm_broker_queue_monitors	VIEW	<null>
CABS	sys	dm_clr_appdomains	VIEW	<null>
CABS	sys	dm_clr_loaded_assemblies	VIEW	<null>
CABS	sys	dm_clr_properties	VIEW	<null>
CABS	sys	dm_clr_tasks	VIEW	<null>
CABS	sys	dm_db_file_space_usage	VIEW	<null>
CABS	sys	dm_db_index_usage_stats	VIEW	<null>
CABS	sys	dm_db_mirroring_connections	VIEW	<null>
CABS	sys	dm_db_missing_index_details	VIEW	<null>
CABS	sys	dm_db_missing_index_group_stats	VIEW	<null>
CABS	sys	dm_db_missing_index_groups	VIEW	<null>
CABS	sys	dm_db_partition_stats	VIEW	<null>
CABS	sys	dm_db_session_space_usage	VIEW	<null>
CABS	sys	dm_db_task_space_usage	VIEW	<null>
CABS	sys	dm_exec_background_job_queue	VIEW	<null>
CABS	sys	dm_exec_background_job_queue_stats	VIEW	<null>
